asset_type,direction,sector_strategy,momentum_weight,quality_weight
stock,long,Consumer Discretionary (RCL),0.5,0.5
stock,long,Financials (RE),0.7,0.3
stock,long,Real Estate (REG),0.4,0.6
stock,long,Healthcare (REGN),0.5,0.5
stock,long,Financials (RF),0.5,0.5
stock,long,Financials (RJF),0.6,0.4
stock,long,Consumer Cyclical (RL),0.6,0.4
stock,long,Healthcare (RMD),0.4,0.6
stock,long,Industrials (ROK),0.5,0.5
stock,long,Technology (ROP),0.4,0.6
stock,long,Consumer Cyclical (ROST),0.5,0.5
stock,long,Industrials (RSG),0.6,0.4
stock,long,Industrials (RTX),0.4,0.6
stock,long,Real Estate (SBAC),0.2,0.8
stock,long,Consumer Cyclical (SBUX),0.3,0.7
stock,long,Technology (SEDG),0.2,0.8
stock,long,Materials (SEE),0.4,0.6
stock,long,Financials (SHW),0.6,0.4
stock,long,Consumer Defensive (SJM),0.4,0.6
stock,long,Energy (SLB),0.2,0.8
stock,long,Real Estate (SLG),0.3,0.7
stock,long,Industrials (SNA),0.3,0.7
stock,long,Technology (SNPS),0.4,0.6
stock,long,Utilities (SO),0.6,0.4
stock,long,Real Estate (SPG),0.7,0.3
stock,long,Financials (SPGI),0.2,0.8
stock,long,Utilities (SRE),0.6,0.4
stock,long,Healthcare (STE),0.6,0.4
stock,long,Financials (STT),0.4,0.6
stock,long,Consumer Defensive (STZ),0.3,0.7
stock,long,Industrials (SWK),0.4,0.6
stock,long,Technology (SWKS),0.3,0.7
stock,long,Financials (SYF),0.4,0.6
stock,long,Healthcare (SYK),0.6,0.4
stock,long,Consumer Staples (SYY),0.4,0.6
stock,long,Communication Services (T),0.4,0.6
stock,long,Consumer Defensive (TAP),0.5,0.5
stock,long,Industrials (TDG),0.6,0.4
stock,long,Healthcare (TECH),0.4,0.6
stock,long,Technology (TEL),0.3,0.7
stock,long,Financials (TFC),0.7,0.3
stock,long,Consumer Defensive (TGT),0.7,0.3
stock,long,Consumer Cyclical (TJX),0.2,0.8
stock,long,Healthcare (TMO),0.3,0.7
stock,long,Communication Services (TMUS),0.5,0.5
stock,long,Consumer Cyclical (TPR),0.7,0.3
stock,long,Energy (TRGP),0.7,0.3
stock,long,Technology (TRMB),0.7,0.3
stock,long,Financials (TROW),0.6,0.4
stock,long,Financials (TRV),0.6,0.4
stock,long,Consumer Cyclical (TSCO),0.7,0.3
stock,long,Consumer Cyclical (TSLA),0.6,0.4
stock,long,Consumer Defensive (TSN),0.5,0.5
stock,long,Industrials (TT),0.6,0.4
stock,long,Communication Services (TTWO),0.5,0.5
stock,long,Technology (TXN),0.6,0.4
stock,long,Industrials (TXT),0.2,0.8
stock,long,Technology (TYL),0.6,0.4
stock,long,Industrials (UAL),0.2,0.8
stock,long,Real Estate (UDR),0.7,0.3
stock,long,Healthcare (UHS),0.3,0.7
stock,long,Consumer Cyclical (ULTA),0.6,0.4
stock,long,Healthcare (UNH),0.6,0.4
stock,long,Industrials (UNP),0.6,0.4
stock,long,Industrials (UPS),0.5,0.5
stock,long,Industrials (URI),0.3,0.7
stock,long,Financials (USB),0.4,0.6
stock,long,Financials (V),0.6,0.4
stock,long,Real Estate (VICI),0.6,0.4
stock,long,Energy (VLO),0.5,0.5
stock,long,Industrials (VMC),0.6,0.4
stock,long,Real Estate (VNO),0.3,0.7
stock,long,Industrials (VRSK),0.6,0.4
stock,long,Healthcare (VRTX),0.3,0.7
stock,long,Healthcare (VTRS),0.3,0.7
stock,long,Communication Services (VZ),0.5,0.5
stock,long,Industrials (WAB),0.7,0.3
stock,long,Healthcare (WAT),0.2,0.8
stock,long,Communication Services (WBD),0.4,0.6
stock,long,Utilities (WEC),0.4,0.6
stock,long,Real Estate (WELL),0.7,0.3
stock,long,Financials (WFC),0.3,0.7
stock,long,Consumer Discretionary (WHR),0.3,0.7
stock,long,Industrials (WM),0.4,0.6
stock,long,Energy (WMB),0.7,0.3
stock,long,Consumer Defensive (WMT),0.5,0.5
stock,long,Financials (WRB),0.5,0.5
stock,long,Materials (WRK),0.4,0.6
stock,long,Real Estate (WY),0.7,0.3
stock,long,Consumer Cyclical (WYNN),0.6,0.4
stock,long,Utilities (XEL),0.5,0.5
stock,long,Energy (XOM),0.5,0.5
stock,long,Healthcare (XRAY),0.4,0.6
stock,long,Industrials (XYL),0.5,0.5
stock,long,Consumer Cyclical (YUM),0.3,0.7
stock,long,Healthcare (ZBH),0.2,0.8
stock,long,Financials (ZION),0.2,0.8
stock,long,Healthcare (ZTS),0.7,0.3
asset_type,direction,sector_strategy,momentum_weight,quality_weight
