,S&P500_Index,Actual_VOO,Estimated_or_Actual_VOO
2015-03-09,2079.4299,157.0122,157.0122
2015-04-06,2080.6201,157.2848,157.2848
2015-05-04,2114.49,159.9437,159.9437
2015-06-01,2111.73,160.1419,160.1419
2015-06-29,2057.6399,156.2531,156.2531
2015-07-27,2067.6399,157.2818,157.2818
2015-08-24,1893.21,144.0664,144.0664
2015-09-21,1966.97,150.2037,150.2037
2015-10-19,2033.66,155.4745,155.4745
2015-11-16,2053.1899,157.2259,157.2259
2015-12-14,2021.9399,155.1993,155.1993
2016-01-11,1923.67,147.6503,147.6503
2016-02-08,1853.4399,142.5745,142.5745
2016-03-07,2001.76,154.3537,154.3537
2016-04-04,2066.1299,159.5597,159.5597
2016-05-02,2081.4299,160.8755,160.8755
2016-05-30,2096.95,162.4022,162.4022
2016-06-27,2000.54,155.1692,155.1692
2016-07-25,2168.48,168.5627,168.5627
2016-08-22,2182.6399,169.9783,169.9783
2016-09-19,2139.1201,166.8467,166.8467
2016-10-17,2126.5,166.0803,166.0803
2016-11-14,2164.2,169.2734,169.2734
2016-12-12,2256.96,176.9111,176.9111
2017-01-09,2268.8999,178.1715,178.1715
2017-02-06,2292.5601,180.0993,180.0993
2017-03-06,2375.3101,187.0394,187.0394
2017-04-03,2358.8401,185.9983,185.9983
2017-05-01,2388.3301,188.6237,188.6237
2017-05-29,2412.9099,190.8531,190.8531
2017-06-26,2439.0701,193.2048,193.2048
2017-07-24,2469.9099,196.0151,196.0151
2017-08-21,2428.3701,192.9454,192.9454
2017-09-18,2503.8701,199.3009,199.3009
2017-10-16,2557.6399,203.8155,203.8155
2017-11-13,2584.8401,206.2577,206.2577
2017-12-11,2659.99,212.6544,212.6544
2018-01-08,2747.71,219.8702,219.8702
2018-02-05,2648.9399,212.028,212.028
2018-03-05,2720.9399,218.4991,218.4991
2018-04-02,2581.8799,207.4618,207.4618
2018-04-30,2648.05,213.1115,213.1115
2018-05-28,2689.8601,216.8225,216.8225
2018-06-25,2717.0701,219.3754,219.3754
2018-07-23,2806.98,226.9329,226.9329
2018-08-20,2857.05,231.3134,231.3134
2018-09-17,2888.8,234.319,234.319
2018-10-15,2750.79,223.3009,223.3009
2018-11-12,2726.22,221.7072,221.7072
2018-12-10,2637.72,214.7482,214.7482
2019-01-07,2549.6899,207.9883,207.9883
2019-02-04,2724.8701,222.5337,222.5337
2019-03-04,2792.8101,228.6313,228.6313
2019-04-01,2867.1899,235.012,235.012
2019-04-29,2943.03,241.5558,241.5558
2019-05-27,2802.3899,230.3839,230.3839
2019-06-24,2945.3501,242.6479,242.6479
2019-07-22,2985.03,246.2032,246.2032
2019-08-19,2923.6499,241.5871,241.5871
2019-09-16,2997.96,248.0569,248.0569
2019-10-14,2966.1499,245.8114,245.8114
2019-11-11,3087.01,256.0912,256.0912
2019-12-09,3135.96,260.666,260.666
2020-01-06,3246.28,270.1416,270.1416
2020-02-03,3248.9199,270.5868,270.5868
2020-03-02,3090.23,257.8951,257.8951
2020-03-30,2626.6499,219.4189,219.4189
2020-04-27,2878.48,240.8779,240.8779
2020-05-25,2991.77,251.0461,251.0461
2020-06-22,3117.8601,261.8349,261.8349
2020-07-20,3251.8401,273.4265,273.4265
2020-08-17,3381.99,284.8953,284.8953
2020-09-14,3383.54,285.3174,285.3174
2020-10-12,3534.22,298.2813,298.2813
2020-11-09,3550.5,300.161,300.161
2020-12-07,3691.96,312.5264,312.5264
2021-01-04,3700.6499,313.6656,313.6656
2021-02-01,3773.8601,319.9013,319.9013
2021-03-01,3901.8201,331.3273,331.3273
2021-03-29,3971.0901,337.7595,337.7595
2021-04-26,4187.6201,356.3934,356.3934
2021-05-24,4197.0498,357.749,357.749
2021-06-21,4224.79,360.4043,360.4043
2021-07-19,4258.4902,363.9557,363.9557
2021-08-16,4479.71,382.8298,382.8298
2021-09-13,4468.73,382.4572,382.4572
2021-10-11,4361.1899,373.4494,373.4494
2021-11-08,4701.7002,403.0498,403.0498
2021-12-06,4591.6699,394.2547,394.2547
2022-01-03,4796.5601,412.0503,412.0503
2022-01-31,4515.5498,388.0731,388.0731
2022-02-28,4373.9399,376.5066,376.5066
2022-03-28,4575.52,394.3684,394.3684
2022-04-25,4296.1201,370.6586,370.6586
2022-05-23,3973.75,343.3722,343.3722
2022-06-20,3764.79,325.8841,325.8841
2022-07-18,3830.8501,331.8032,331.8032
2022-08-15,4297.1401,372.6974,372.6974
2022-09-12,4110.4102,357.1128,357.1128
2022-10-10,3612.3899,314.0503,314.0503
2022-11-07,3806.8,331.4216,331.4216
2022-12-05,3998.8401,348.6979,348.6979
2023-01-02,3824.1399,333.8191,333.8191
2023-01-30,4017.77,351.1973,351.1973
2023-02-27,3982.24,348.603,348.603
2023-03-27,3977.53,348.7649,348.7649
2023-04-24,4137.04,363.0638,363.0638
2023-05-22,4192.6299,368.5132,368.5132
2023-06-19,4388.71,386.3269,386.3269
2023-07-17,4522.79,398.2584,398.2584
2023-08-14,4489.7202,395.8643,395.8643
2023-09-11,4487.46,396.2105,396.2105
2023-10-09,4335.6602,383.3503,383.3503
2023-11-06,4365.98,386.2651,386.2651
2023-12-04,4569.7798,405.1146,405.1146
2024-01-01,4742.8301,420.6162,420.6162
2024-01-29,4927.9302,437.5568,437.5568
2024-02-26,5069.5298,450.7177,450.7177
2024-03-25,5218.1899,464.68,464.68
2024-04-22,5010.6001,446.3141,446.3141
2024-05-20,5308.1299,473.6539,473.6539
2024-06-17,5473.23,488.9864,488.9864
2024-07-15,5631.2202,503.5735,503.5735
2024-08-12,5344.3901,478.166,478.166
2024-09-09,5471.0498,490.0306,490.0306
2024-10-07,5695.9399,510.8188,510.8188
2024-11-04,5712.6899,512.6686,512.6686
2024-12-02,6047.1499,543.2154,543.2154
2024-12-30,5906.9399,531.1876,531.1876
2025-01-27,6012.2798,541.2421,541.2421
2025-02-24,5983.25,539.19,539.19
2025-03-24,5767.5698,519.7978,519.7978
2025-04-21,5158.2002,465.4191,465.4191
2025-05-19,5963.6001,538.7736,538.7736
2025-06-16,6033.1099,545.9169,545.9169
2025-07-14,6268.5601,567.6453,567.6453
2025-08-11,6373.4502,577.7163,577.7163
2025-09-08,6495.1499,589.5367,589.5367
2025-10-06,6740.2798,611.9378,611.9378
2025-11-03,6851.9702,622.7116,622.7116
2025-12-01,6812.6299,619.986,619.986
2025-12-29,6905.7402,628.7778,628.7778
2026-01-26,6950.23,633.2406,633.2406
2026-02-23,6837.75,623.8378,623.8378
2026-03-23,6581.0,600.778,600.778
2026-04-20,7109.1401,649.648,649.648
2026-05-18,7403.0525,676.9385,676.9385
2026-06-15,7554.2894,691.8152,691.8152
2026-07-13,7515.3413,688.5,688.5
