symbol,asset_type,direction,sector_strategy,momentum_weight,quality_weight
BDX,stock,long,Healthcare (BDX),0.3,0.7
BEN,stock,long,Financials (BEN),0.5,0.5
BF-B,stock,long,Consumer Defensive (Brown-Forman),0.3,0.7
BG,stock,long,Consumer Defensive (BG),0.5,0.5
BIIB,stock,long,Healthcare (Biogen),0.4,0.6
BIL,etf,long,Short-Term U.S. Treasuries,0.1,0.9
BK,stock,long,Financials (BK),0.3,0.7
BKNG,stock,long,Consumer Cyclical (Booking),0.5,0.5
BKR,stock,long,Energy (BKR),0.4,0.6
BLDR,stock,long,Industrials (Builders FirstSource),0.6,0.4
BLK,stock,long,Financials (BLK),0.5,0.5
BMY,stock,long,Healthcare (BMY),0.4,0.6
BR,stock,long,Financial Services (Broadridge Financial Solutions),0.4,0.6
BRK-B,stock,long,Financials (Berkshire Hathaway),0.3,0.7
BRO,stock,long,Financials (BRO),0.7,0.3
BSX,stock,long,Healthcare (BSX),0.6,0.4
BTAL,etf,short/trend,Market Neutral (Short High Beta),,
BTE,stock,long,Energy (Baytex),0.7,0.3
BX,stock,long,Private Equity (Blackstone),0.6,0.4
BXP,stock,long,Real Estate (BXP),0.3,0.7
C,stock,long,Financials (C),0.3,0.7
CAG,stock,long,Consumer Defensive (CAG),0.4,0.6
CAH,stock,long,Healthcare (Cardinal Health),0.3,0.7
CARR,stock,long,Industrials (Carrier Global),0.5,0.5
CASY,stock,long,Consumer Defensive (Casey's),0.4,0.6
CAT,stock,long,Industrials (CAT),0.4,0.6
CB,stock,long,Financials (CB),0.6,0.4
CBOE,stock,long,Financials (Cboe Global Markets),0.5,0.5
CBRE,stock,long,Real Estate (CBRE),0.4,0.6
CCI,stock,long,Real Estate (CCI),0.3,0.7
CCL,stock,long,Consumer Discretionary (CCL),0.2,0.8
CDNS,stock,long,Technology (CDNS),0.7,0.3
CDW,stock,long,Technology (CDW Corporation),0.4,0.6
CEG,stock,long,Utilities (Constellation Energy),0.6,0.4
CF,stock,long,Materials (CF),0.2,0.8
CFG,stock,long,Financials (CFG),0.3,0.7
CHD,stock,long,Consumer Staples (CHD),0.6,0.4
CHK,stock,long,Energy (Chesapeake Energy),0.5,0.5
CHRW,stock,long,Industrials (CHRW),0.5,0.5
CHTR,stock,long,Communication Services (CHTR),0.2,0.8
CI,stock,long,Healthcare (CI),0.7,0.3
CINF,stock,long,Financials (CINF),0.4,0.6
CL,stock,long,Consumer Defensive (CL),0.4,0.6
CLX,stock,long,Consumer Staples (CLX),0.3,0.7
CMCSA,stock,long,Communication Services (CMCSA),0.3,0.7
CME,stock,long,Financials (CME),0.4,0.6
CMG,stock,long,Consumer Discretionary (CMG),0.5,0.5
CMI,stock,long,Industrials (CMI),0.5,0.5
CMS,stock,long,Utilities (CMS),0.5,0.5
CNC,stock,long,Health Care (CNC),0.5,0.5
CNP,stock,long,Utilities (CNP),0.7,0.3
COF,stock,long,Financials (COF),0.5,0.5
COIN,stock,long,Financials / Crypto (Coinbase Global),0.8,0.2
COO,stock,long,Healthcare (COO),0.3,0.7
COP,stock,long,Energy (COP),0.4,0.6
COR,stock,long,Healthcare (COR),0.6,0.4
COST,stock,long,Consumer Defensive (Costco),0.3,0.7
CPAY,stock,long,Financials (Corpay),0.5,0.5
CPB,stock,long,Consumer Defensive (CPB),0.4,0.6
CPRT,stock,long,Industrials (CPRT),0.6,0.4
CPT,stock,long,Real Estate (CPT),0.2,0.8
CRH,stock,long,Materials (CRH plc),0.5,0.5
CRL,stock,long,Healthcare (CRL),0.4,0.6
CRM,stock,long,Technology (CRM),0.4,0.6
CRWD,stock,long,Technology (CrowdStrike Holdings),0.8,0.2
CSCO,stock,long,Technology (Cisco Systems),0.4,0.6
CSGP,stock,long,Industrials (CSGP),0.5,0.5
CSX,stock,long,Industrials (CSX),0.7,0.3
CTA,etf,short/trend,Managed Futures (Rates & Commodities),,
CTAS,stock,long,Industrials (CTAS),0.7,0.3
CTRA,stock,long,Energy (CTRA),0.6,0.4
CTSH,stock,long,Technology (Cognizant Technology Solutions),0.4,0.6
CTVA,stock,long,Materials (CTVA),0.3,0.7
CVNA,stock,long,Consumer Cyclical (Carvana),0.8,0.2
CVS,stock,long,Healthcare (CVS),0.5,0.5
CVX,stock,long,Energy (Chevron),0.5,0.5
CWST,stock,long,Industrials (Casella Waste),0.4,0.6
CYA,etf,short/trend,Tail Risk / Black Swan Hedge,,
D,stock,long,Utilities (D),0.2,0.8
DAL,stock,long,Industrials (DAL),0.4,0.6
DASH,stock,long,Technology / Consumer (DoorDash),0.7,0.3
DAY,stock,long,Industrials (Dayton Superior / Jabil),0.5,0.5
DBMF,etf,short/trend,Managed Futures (Hedge Fund Replication),,
DD,stock,long,Materials (DD),0.7,0.3
DDOG,stock,long,Technology (Datadog),0.8,0.2
DE,stock,long,Industrials (DE),0.3,0.7
DECK,stock,long,Consumer Cyclical (Deckers),0.6,0.4
DELL,stock,long,Technology (Dell Technologies),0.5,0.5
DG,stock,long,Consumer Defensive (Dollar General),0.4,0.6
DGX,stock,long,Healthcare (DGX),0.6,0.4
DHI,stock,long,Consumer Cyclical (DHI),0.5,0.5
DHR,stock,long,Healthcare (DHR),0.2,0.8
DIS,stock,long,Communication Services (DIS),0.3,0.7
DLR,stock,long,Real Estate (DLR),0.7,0.3
DLTR,stock,long,Consumer Defensive (Dollar Tree),0.4,0.6
DOC,stock,long,Real Estate (DOC),0.5,0.5
DOV,stock,long,Industrials (DOV),0.4,0.6
DOW,stock,long,Basic Materials (Dow),0.5,0.5
DPZ,stock,long,Consumer Discretionary (DPZ),0.4,0.6
DRI,stock,long,Consumer Discretionary (DRI),0.4,0.6
DTE,stock,long,Utilities (DTE),0.2,0.8
DUK,stock,long,Utilities (DUK),0.2,0.8
DVA,stock,long,Healthcare (DVA),0.4,0.6
DVN,stock,long,Energy (DVN),0.6,0.4
DXCM,stock,long,Healthcare (DXCM),0.5,0.5
EA,stock,long,Communication Services (EA),0.7,0.3
EBAY,stock,long,Consumer Discretionary (EBAY),0.7,0.3
ECL,stock,long,Materials (ECL),0.4,0.6
ED,stock,long,Utilities (ED),0.5,0.5
EFX,stock,long,Industrials (EFX),0.6,0.4
EG,stock,long,Financials (EG),0.5,0.5
EGP,stock,long,REIT (EastGroup),0.4,0.6
EIX,stock,long,Utilities (Edison International),0.3,0.7
EL,stock,long,Consumer Defensive (EL),0.6,0.4
ELV,stock,long,Healthcare (ELV),0.2,0.8
EME,stock,long,Industrials (Emcor Group),0.6,0.4
EMR,stock,long,Industrials (EMR),0.6,0.4
EOG,stock,long,Energy (EOG),0.3,0.7
EPAM,stock,long,Technology (EPAM Systems),0.5,0.5
EQIX,stock,long,Real Estate (EQIX),0.5,0.5
EQR,stock,long,Real Estate (EQR),0.3,0.7
EQT,stock,long,Energy (EQT Corporation),0.5,0.5
ERIE,stock,long,Insurance (Erie Indemnity),0.4,0.6
ES,stock,long,Utilities (ES),0.4,0.6
ESS,stock,long,Real Estate (ESS),0.6,0.4
ETN,stock,long,Industrials (ETN),0.6,0.4
ETR,stock,long,Utilities (ETR),0.5,0.5
EVRG,stock,long,Utilities (EVRG),0.5,0.5
EW,stock,long,Healthcare (EW),0.4,0.6
EXC,stock,long,Utilities (EXC),0.4,0.6
EXEL,stock,long,Healthcare / Biotech,0.6,0.4
EXPD,stock,long,Industrials (EXPD),0.6,0.4
EXPE,stock,long,Consumer Cyclical (EXPE),0.4,0.6
EXR,stock,long,Real Estate (EXR),0.3,0.7
F,stock,long,Consumer Cyclical (F),0.4,0.6
FANG,stock,long,Energy (Diamondback),0.6,0.4
FAST,stock,long,Industrials (FAST),0.3,0.7
FCX,stock,long,Materials (FCX),0.3,0.7
FDS,stock,long,Financials (FDS),0.4,0.6
FDX,stock,long,Industrials (FedEx Corporation),0.4,0.6
FE,stock,long,Utilities (FE),0.5,0.5
FFIV,stock,long,Technology (F5),0.4,0.6
FI,stock,long,Financials (Fiserv),0.5,0.5
FICO,stock,long,Technology (Fair Isaac),0.5,0.5
FIS,stock,long,Financials (FIS),0.4,0.6
FITB,stock,long,Financials (FITB),0.6,0.4
FIX,stock,long,Industrials (Comfort Systems USA),0.6,0.4
FMF,etf,short/trend,Managed Futures Strategy,,
FOX,stock,long,Communication Services (Fox Corporation Class B),0.4,0.6
FOXA,stock,long,Communication Services (Fox Corporation Class A),0.4,0.6
FR,stock,long,REIT (First Industrial),0.4,0.6
FRT,stock,long,Real Estate (FRT),0.6,0.4
FSLR,stock,long,Technology (FSLR),0.5,0.5
FTNT,stock,long,Technology (FTNT),0.3,0.7
FTV,stock,long,Industrials (Fortive),0.5,0.5
GD,stock,long,Industrials (GD),0.6,0.4
GDDY,stock,long,Technology (GDDY),0.3,0.7
GE,stock,long,Industrials (GE),0.4,0.6
GEHC,stock,long,Healthcare (GEHC),0.7,0.3
GEN,stock,long,Technology (GEN),0.7,0.3
GEV,stock,long,Industrials (GE Vernova),0.7,0.3
GILD,stock,long,Healthcare / Biotech,0.4,0.6
GIS,stock,long,Consumer Defensive (GIS),0.3,0.7
GL,stock,long,Financials (GL),0.5,0.5
GLW,stock,long,Technology (GLW),0.6,0.4
GM,stock,long,Consumer Cyclical (GM),0.6,0.4
GNRC,stock,long,Industrials (Generac Holdings),0.5,0.5
GOOG,stock,long,Communication Services (GOOG),0.7,0.3
GOOGL,stock,long,Communication Services (GOOGL),0.5,0.5
GPC,stock,long,Consumer Cyclical (GPC),0.7,0.3
GPN,stock,long,Financials (GPN),0.5,0.5
GRMN,stock,long,Technology (Garmin),0.5,0.5
GS,stock,long,Financials (GS),0.4,0.6
GWW,stock,long,Industrials (GWW),0.2,0.8
HAL,stock,long,Energy (HAL),0.6,0.4
HAS,stock,long,Consumer Cyclical (HAS),0.5,0.5
HBAN,stock,long,Financials (HBAN),0.2,0.8
HCA,stock,long,Healthcare (HCA),0.5,0.5
HD,stock,long,Consumer Cyclical (HD),0.4,0.6
HIG,stock,long,Financials (HIG),0.3,0.7
HII,stock,long,Industrials (HII),0.6,0.4
HLT,stock,long,Consumer Cyclical (HLT),0.2,0.8
HOLX,stock,long,Healthcare (HOLX),0.5,0.5
HON,stock,long,Industrials (HON),0.6,0.4
HOOD,stock,long,Financials (Robinhood Markets),0.7,0.3
HPE,stock,long,Hewlett Packard Enterprise,0.4,0.6
HPQ,stock,long,Technology (HP Inc.),0.4,0.6
HRL,stock,long,Consumer Defensive (HRL),0.4,0.6
HSIC,stock,long,Healthcare (HSIC),0.7,0.3
HST,stock,long,Real Estate (HST),0.3,0.7
HSY,stock,long,Consumer Defensive (HSY),0.6,0.4
HUBB,stock,long,Industrials (Hubbell),0.5,0.5
HUM,stock,long,Healthcare (HUM),0.2,0.8
HWM,stock,long,Industrials (Howmet Aerospace),0.6,0.4
IBKR,stock,long,Financials (Interactive Brokers Group),0.5,0.5
IBM,stock,long,Technology (IBM),0.5,0.5
ICE,stock,long,Financials (ICE),0.5,0.5
IDXX,stock,long,Healthcare (IDXX),0.2,0.8
IEX,stock,long,Industrials (IEX),0.4,0.6
IFF,stock,long,Materials (IFF),0.5,0.5
INCY,stock,long,Health Care (INCY),0.5,0.5
INTC,stock,long,Technology (INTC),0.5,0.5
INTU,stock,long,Technology (Intuit),0.5,0.5
INVH,stock,long,Real Estate (INVH),0.5,0.5
IP,stock,long,Materials (IP),0.4,0.6
IQV,stock,long,Health Care (IQV),0.6,0.4
IR,stock,long,Industrials (Ingersoll Rand),0.5,0.5
IRM,stock,long,Real Estate (IRM),0.5,0.5
ISRG,stock,long,Healthcare (ISRG),0.3,0.7
IT,stock,long,Technology (Gartner),0.5,0.5
ITW,stock,long,Industrials (ITW),0.2,0.8
IVOL,etf,short/trend,Inflation & Rate Volatility Hedge,,
IVZ,stock,long,Financials (IVZ),0.5,0.5
J,stock,long,Industrials (Jacobs Solutions),0.5,0.5
JBHT,stock,long,Industrials (JBHT),0.3,0.7
JBL,stock,long,Industrials (JBL),0.7,0.3
JCI,stock,long,Industrials (JCI),0.6,0.4
JKHY,stock,long,Financials (JKHY),0.7,0.3
JNJ,stock,long,Healthcare (JNJ),0.4,0.6
JPM,stock,long,Financials (JPM),0.4,0.6
KDP,stock,long,Consumer Defensive (KDP),0.5,0.5
KEY,stock,long,Financials (KEY),0.2,0.8
KEYS,stock,long,Technology (Keysight Technologies),0.5,0.5
KHC,stock,long,Consumer Defensive (KHC),0.5,0.5
KIM,stock,long,Real Estate (KIM),0.4,0.6
KKR,stock,long,Private Equity (KKR),0.6,0.4
KLAC,stock,long,Technology (KLA Corp),0.6,0.4
KMB,stock,long,Consumer Staples (KMB),0.5,0.5
KMI,stock,long,Energy (KMI),0.3,0.7
KMLM,etf,short/trend,Managed Futures (Commodities/Bonds/FX),,
KO,stock,long,Consumer Defensive (KO),0.4,0.6
KR,stock,long,Consumer Staples (KR),0.6,0.4
KVUE,stock,long,Consumer Defensive (Kenvue),0.3,0.7
L,stock,long,Financials (L),0.6,0.4
LDOS,stock,long,Industrials (LDOS),0.7,0.3
LEN,stock,long,Consumer Cyclical (LEN),0.2,0.8
LH,stock,long,Healthcare (LH),0.6,0.4
LHX,stock,long,Industrials (LHX),0.2,0.8
LII,stock,long,Industrials (Lennox International),0.5,0.5
LIN,stock,long,Materials (LIN),0.6,0.4
LLY,stock,long,Healthcare (Eli Lilly),0.5,0.5
LMT,stock,long,Industrials (Lockheed Martin),0.4,0.6
LNT,stock,long,Utilities (LNT),0.5,0.5
LOW,stock,long,Consumer Cyclical (LOW),0.5,0.5
LRCX,stock,long,Technology (LRCX),0.3,0.7
LULU,stock,long,Consumer Cyclical (Lululemon Athletica),0.5,0.5
LUV,stock,long,Industrials (LUV),0.2,0.8
LVS,stock,long,Consumer Cyclical (Las Vegas Sands),0.4,0.6
LW,stock,long,Consumer Defensive (LW),0.3,0.7
LYB,stock,long,Basic Materials (LyondellBasell),0.4,0.6
LYV,stock,long,Communication Services (LYV),0.3,0.7
MA,stock,long,Financials (MA),0.4,0.6
MAA,stock,long,Real Estate (MAA),0.3,0.7
MAR,stock,long,Consumer Cyclical (MAR),0.3,0.7
MAS,stock,long,Industrials (MAS),0.2,0.8
MCD,stock,long,Consumer Cyclical (MCD),0.5,0.5
MCHP,stock,long,Technology (Microchip Technology),0.5,0.5
MCK,stock,long,Healthcare (McKesson),0.4,0.6
MCO,stock,long,Financials (MCO),0.7,0.3
MDLZ,stock,long,Consumer Defensive (MDLZ),0.6,0.4
MDT,stock,long,Healthcare (MDT),0.4,0.6
MELI,stock,long,Consumer Cyclical (MercadoLibre),0.7,0.3
MET,stock,long,Financials (MET),0.4,0.6
META,stock,long,Technology (Meta),0.7,0.3
MGM,stock,long,Consumer Cyclical (MGM),0.3,0.7
MKC,stock,long,Consumer Staples (MKC),0.7,0.3
MLM,stock,long,Industrials (MLM),0.2,0.8
MMC,stock,long,Financials (MMC),0.2,0.8
MMM,stock,long,Industrials (MMM),0.3,0.7
MNST,stock,long,Consumer Defensive (Monster Beverage),0.5,0.5
MO,stock,long,Consumer Defensive (MO),0.5,0.5
MOH,stock,long,Healthcare (Molina Healthcare),0.4,0.6
MOS,stock,long,Materials (MOS),0.4,0.6
MPC,stock,long,Energy (Marathon Petroleum),0.6,0.4
MPWR,stock,long,Technology (Monolithic Power),0.6,0.4
MRK,stock,long,Healthcare (MRK),0.4,0.6
MRNA,stock,long,Healthcare (Moderna),0.5,0.5
MS,stock,long,Financials (MS),0.7,0.3
MSCI,stock,long,Financials (MSCI),0.6,0.4
MSFT,stock,long,Technology (Microsoft),0.5,0.5
MSI,stock,long,Technology (MSI),0.2,0.8
MTB,stock,long,Financials (MTB),0.4,0.6
MTCH,stock,long,Communication Services (Match Group),0.4,0.6
MTD,stock,long,Healthcare (MTD),0.4,0.6
MU,stock,long,Technology (MU),0.6,0.4
NCLH,stock,long,Consumer Discretionary (NCLH),0.2,0.8
NDAQ,stock,long,Financials (NDAQ),0.6,0.4
NDSN,stock,long,Industrials (NDSN),0.6,0.4
NEE,stock,long,Utilities (NEE),0.4,0.6
NEM,stock,long,Materials (NEM),0.7,0.3
NFLX,stock,long,Communication Services (NFLX),0.5,0.5
NI,stock,long,Utilities (NI),0.3,0.7
NKE,stock,long,Consumer Cyclical (NKE),0.5,0.5
NNN,stock,long,REIT (NNN),0.3,0.7
NOC,stock,long,Industrials (NOC),0.5,0.5
NOW,stock,long,Technology (NOW),0.3,0.7
NRG,stock,long,Utilities (NRG Energy),0.5,0.5
NSC,stock,long,Industrials (NSC),0.3,0.7
NTAP,stock,long,Financials (NTAP),0.7,0.3
NTRS,stock,long,Financials (NTRS),0.5,0.5
NUE,stock,long,Materials (NUE),0.3,0.7
NVDA,stock,long,Technology (NVDA),0.6,0.4
NVR,stock,long,Consumer Cyclical (NVR),0.7,0.3
NWS,stock,long,Communication Services (NWS),0.4,0.6
NWSA,stock,long,Communication Services (NWSA),0.5,0.5
NXPI,stock,long,Technology (NXP Semiconductors),0.5,0.5
O,stock,long,REIT (Realty Income),0.2,0.8
ODFL,stock,long,Industrials (ODFL),0.4,0.6
OKE,stock,long,Energy (ONEOK),0.4,0.6
OMC,stock,long,Communication Services (OMC),0.6,0.4
ON,stock,long,Technology (ON Semiconductor),0.5,0.5
ORCL,stock,long,Technology (ORCL),0.3,0.7
ORLY,stock,long,Consumer Cyclical (O'Reilly),0.4,0.6
OTIS,stock,long,Industrials (Otis Worldwide),0.4,0.6
OXY,stock,long,Energy (OXY),0.4,0.6
PANW,stock,long,Technology (PANW),0.4,0.6
PAYC,stock,long,Financials (PAYC),0.6,0.4
PAYX,stock,long,Industrials (PAYX),0.5,0.5
PCAR,stock,long,Industrials (PCAR),0.4,0.6
PCG,stock,long,Utilities (PCG),0.2,0.8
PEG,stock,long,Utilities (PEG),0.5,0.5
PEP,stock,long,Consumer Defensive (PEP),0.5,0.5
PFE,stock,long,Healthcare (PFE),0.3,0.7
PFG,stock,long,Financials (PFG),0.7,0.3
PFIX,etf,short/trend,Interest Rate Hedge (Short Bonds),,
PG,stock,long,Consumer Defensive (PG),0.4,0.6
PGR,stock,long,Financials (Progressive),0.4,0.6
PH,stock,long,Industrials (PH),0.4,0.6
PHM,stock,long,Consumer Cyclical (PHM),0.3,0.7
PKG,stock,long,Materials (PKG),0.5,0.5
PLD,stock,long,REIT (Prologis),0.4,0.6
PLTR,stock,long,Technology (Palantir Technologies),0.8,0.2
PM,stock,long,Consumer Defensive (PM),0.3,0.7
PNC,stock,long,Financials (PNC),0.4,0.6
PNR,stock,long,Industrials (PNR),0.5,0.5
PNW,stock,long,Utilities (PNW),0.6,0.4
PODD,stock,long,Healthcare (PODD),0.2,0.8
POOL,stock,long,Consumer Discretionary (POOL),0.7,0.3
PPG,stock,long,Materials (PPG),0.2,0.8
PPL,stock,long,Utilities (PPL),0.3,0.7
PRU,stock,long,Financials (PRU),0.6,0.4
PSA,stock,long,REIT (Public Storage),0.3,0.7
PSKY,stock,long,Financials / Real Estate,0.5,0.5
PSX,stock,long,Energy (PSX),0.4,0.6
PTC,stock,long,Technology (PTC),0.6,0.4
PWR,stock,long,Industrials (PWR),0.7,0.3
PYPL,stock,long,Financials (PayPal Holdings),0.5,0.5
Q,stock,long,Communication Services / Other,0.5,0.5
QCOM,stock,long,Technology (QCOM),0.6,0.4
RCL,stock,long,Consumer Discretionary (RCL),0.5,0.5
REG,stock,long,Real Estate (REG),0.4,0.6
REGN,stock,long,Healthcare (REGN),0.5,0.5
REXR,stock,long,REIT (Rexford),0.4,0.6
RF,stock,long,Financials (RF),0.5,0.5
RJF,stock,long,Financials (RJF),0.6,0.4
RL,stock,long,Consumer Cyclical (RL),0.6,0.4
RMD,stock,long,Healthcare (RMD),0.4,0.6
ROK,stock,long,Industrials (ROK),0.5,0.5
ROL,stock,long,Industrials (Rollins),0.5,0.5
ROP,stock,long,Technology (ROP),0.4,0.6
ROST,stock,long,Consumer Cyclical (ROST),0.5,0.5
RSBT,etf,short/trend,Stacked Bonds & Managed Futures,,
RSG,stock,long,Industrials (Republic Services),0.3,0.7
RTX,stock,long,Industrials (RTX),0.4,0.6
RVTY,stock,long,Healthcare (Revvity),0.4,0.6
SBAC,stock,long,Real Estate (SBAC),0.2,0.8
SBUX,stock,long,Consumer Cyclical (SBUX),0.3,0.7
SCHD,etf,long,US Dividend Equity,0.3,0.7
SCHG,etf,long,US Large Cap Growth,0.6,0.4
SCHW,stock,long,Financials (Charles Schwab),0.4,0.6
SHW,stock,long,Financials (SHW),0.6,0.4
SJM,stock,long,Consumer Defensive (SJM),0.4,0.6
SLB,stock,long,Energy (SLB),0.2,0.8
SMCI,stock,long,Technology (Super Micro Computer),0.8,0.2
SNA,stock,long,Industrials (SNA),0.3,0.7
SNDK,stock,long,Technology (SanDisk legacy),0.5,0.5
SNPS,stock,long,Technology (SNPS),0.4,0.6
SO,stock,long,Utilities (SO),0.6,0.4
SOLV,stock,long,Healthcare (Solventum),0.4,0.6
SPG,stock,long,Real Estate (SPG),0.7,0.3
SPGI,stock,long,Financials (SPGI),0.2,0.8
SRE,stock,long,Utilities (SRE),0.6,0.4
STAG,stock,long,REIT (STAG Industrial),0.4,0.6
STE,stock,long,Healthcare (STE),0.6,0.4
STLD,stock,long,Materials (Steel Dynamics),0.5,0.5
STT,stock,long,Financials (STT),0.4,0.6
STX,stock,long,Technology (Seagate Technology),0.5,0.5
STZ,stock,long,Consumer Defensive (STZ),0.3,0.7
SVXY,etf,short/trend,Inverse Volatility (Short VIX),,
SW,stock,long,Industrials / Materials,0.5,0.5
SWK,stock,long,Industrials (SWK),0.4,0.6
SWKS,stock,long,Technology (SWKS),0.3,0.7
SYF,stock,long,Financials (SYF),0.4,0.6
SYK,stock,long,Healthcare (SYK),0.6,0.4
SYY,stock,long,Consumer Staples (SYY),0.4,0.6
T,stock,long,Communication Services (T),0.4,0.6
TAP,stock,long,Consumer Defensive (TAP),0.5,0.5
TDG,stock,long,Industrials (TDG),0.6,0.4
TDY,stock,long,Technology / Defense (Teledyne Technologies),0.5,0.5
TECH,stock,long,Healthcare (TECH),0.4,0.6
TEL,stock,long,Technology (TEL),0.3,0.7
TER,stock,long,Technology (Teradyne),0.5,0.5
TFC,stock,long,Financials (TFC),0.7,0.3
TGT,stock,long,Consumer Defensive (TGT),0.7,0.3
TJX,stock,long,Consumer Cyclical (TJX),0.2,0.8
TKO,stock,long,Communication Services (TKO Group Holdings),0.6,0.4
TMO,stock,long,Healthcare (TMO),0.3,0.7
TMUS,stock,long,Communication Services (T-Mobile),0.4,0.6
TPL,stock,long,Energy (Texas Pacific Land Corporation),0.7,0.3
TPR,stock,long,Consumer Cyclical (TPR),0.7,0.3
TRGP,stock,long,Energy (TRGP),0.7,0.3
TRI,stock,long,Industrials (Thomson Reuters),0.4,0.6
TRMB,stock,long,Technology (TRMB),0.7,0.3
TRNO,stock,long,REIT (Terreno),0.4,0.6
TROW,stock,long,Financials (TROW),0.6,0.4
TRV,stock,long,Financials (TRV),0.6,0.4
TSCO,stock,long,Consumer Cyclical (TSCO),0.7,0.3
TSLA,stock,long,Consumer Cyclical (Tesla),0.8,0.2
TSN,stock,long,Consumer Defensive (TSN),0.5,0.5
TT,stock,long,Industrials (TT),0.6,0.4
TTD,stock,long,Technology (The Trade Desk),0.7,0.3
TTWO,stock,long,Communication Services (TTWO),0.5,0.5
TXN,stock,long,Technology (TXN),0.6,0.4
TXT,stock,long,Industrials (TXT),0.2,0.8
TYL,stock,long,Technology (TYL),0.6,0.4
UAL,stock,long,Industrials (UAL),0.2,0.8
UBER,stock,long,Technology / Consumer (Uber Technologies),0.7,0.3
UDR,stock,long,Real Estate (UDR),0.7,0.3
UHS,stock,long,Healthcare (UHS),0.3,0.7
ULTA,stock,long,Consumer Cyclical (ULTA),0.6,0.4
UNH,stock,long,Healthcare (UnitedHealth),0.4,0.6
UNP,stock,long,Industrials (UNP),0.6,0.4
UPS,stock,long,Industrials (UPS),0.5,0.5
URI,stock,long,Industrials (URI),0.3,0.7
USB,stock,long,Financials (USB),0.4,0.6
V,stock,long,Financials (V),0.6,0.4
VICI,stock,long,Real Estate (VICI),0.6,0.4
VLO,stock,long,Energy (VLO),0.5,0.5
VLTO,stock,long,Industrials (Veralto),0.4,0.6
VMC,stock,long,Industrials (VMC),0.6,0.4
VOO,etf,long,S&P 500 Index,0.5,0.5
VRSK,stock,long,Industrials (VRSK),0.6,0.4
VRSN,stock,long,Technology (Verisign),0.4,0.6
VRT,stock,long,Industrials (Vertiv),0.7,0.3
VRTX,stock,long,Healthcare (Vertex),0.5,0.5
VST,stock,long,Utilities (Vistra),0.7,0.3
VTR,stock,long,REIT (Ventas),0.4,0.6
